id_empleado;fecha_desde;fecha_hasta;id_evento;cantidad;borrable;afecta_vac
2;2011-09-05;2011-09-11;11;7;0;1
3;2011-09-14;2011-09-14;11;1;0;1
7;2011-09-19;2011-09-20;11;2;0;1
1;2011-09-24;2011-09-26;11;3;0;1
1;2011-10-12;2011-10-14;11;3;0;1
5;2011-10-17;2011-10-23;11;7;0;1
2;2011-10-19;2011-10-19;11;1;0;1
7;2011-10-24;2011-10-28;11;5;0;1
8;2011-11-07;2011-11-09;11;3;0;1
2;2011-11-21;2011-11-22;11;2;0;1
8;2011-12-07;2011-12-16;2;10;0;0
1;2011-12-07;2011-12-20;11;14;0;1
3;2011-12-10;2011-12-10;11;1;0;1
7;2011-12-12;2011-12-12;11;1;0;1
10;2011-12-15;2011-12-26;11;12;0;1
5;2011-12-16;2011-12-18;11;3;0;1
2;2011-12-27;2011-12-27;11;1;0;1
5;2012-01-16;2012-01-29;11;14;0;1
11;2012-01-16;2012-01-29;11;14;0;1
8;2012-01-30;2012-02-05;11;7;0;1
1;2012-01-30;2012-02-12;11;14;0;1
3;2012-01-30;2012-02-12;11;14;0;1
9;2012-02-25;2012-02-25;11;1;0;1
2;2012-03-01;2012-03-07;11;7;0;1
1;2012-03-03;2012-03-06;11;4;0;1
3;2012-03-05;2012-03-06;11;2;0;1
8;2012-03-05;2012-03-19;11;15;0;1
9;2012-03-09;2012-03-09;11;1;0;1
9;2012-04-09;2012-04-22;11;14;0;1
3;2012-04-10;2012-04-10;11;1;0;1
7;2012-04-18;2012-04-18;11;1;0;1
5;2012-04-28;2012-04-28;11;1;0;1
9;2012-05-07;2012-05-07;11;1;0;1
2;2012-05-12;2012-05-14;11;3;0;1
10;2012-05-18;2012-05-19;11;2;0;1
8;2012-05-26;2012-05-29;11;4;0;1
3;2012-05-28;2012-05-30;11;3;0;1
5;2012-07-10;2012-07-17;11;8;0;1
7;2012-07-19;2012-07-19;11;1;0;1
9;2012-07-23;2012-07-23;11;1;0;1
7;2012-08-14;2012-08-15;8;2;0;0
9;2012-08-28;2012-08-28;11;1;0;1
11;2012-08-31;2012-09-02;11;3;0;1
3;2012-09-04;2012-09-04;11;1;0;1
5;2012-09-21;2012-09-21;11;1;0;1
1;2012-09-21;2012-09-22;11;2;0;1
8;2012-09-29;2012-09-29;11;1;0;1
1;2012-10-02;2012-10-16;11;15;0;1
9;2012-10-10;2012-10-11;11;2;0;1
1;2012-10-22;2012-10-22;11;1;0;1
5;2012-10-27;2012-10-27;11;1;0;1
2;2012-11-01;2012-11-15;11;15;0;1
1;2012-11-05;2012-11-05;11;1;0;1
10;2012-11-10;2012-11-10;11;1;0;1
1;2012-12-09;2012-12-21;11;13;0;1
9;2012-12-11;2012-12-11;11;1;0;1
8;2012-12-12;2012-12-12;11;1;0;1
2;2012-12-26;2012-12-26;11;1;0;1
5;2012-12-29;2012-12-29;11;1;0;1
3;2013-01-07;2013-01-20;11;14;0;1
11;2013-01-21;2013-01-31;11;11;0;1
5;2013-01-21;2013-02-05;11;16;0;1
1;2013-01-24;2013-01-24;11;1;0;1
1;2013-02-07;2013-02-07;11;1;0;1
7;2013-02-09;2013-02-09;11;1;0;1
10;2013-02-09;2013-02-09;11;1;0;1
2;2013-02-13;2013-02-13;11;1;0;1
9;2013-02-23;2013-02-23;11;1;0;1
7;2013-03-09;2013-03-09;11;1;0;1
9;2013-03-28;2013-03-28;11;1;0;1
3;2013-03-28;2013-03-30;11;3;0;1
1;2013-03-30;2013-03-30;11;1;0;1
10;2013-04-13;2013-04-13;11;1;0;1
9;2013-04-22;2013-05-05;11;14;0;1
3;2013-05-22;2013-05-22;11;1;0;1
1;2013-06-01;2013-06-01;11;1;0;1
1;2013-06-02;2013-06-05;11;4;0;1
2;2013-06-06;2013-06-08;11;3;0;1
2;2013-06-08;2013-06-08;11;1;0;1
12;2013-06-13;2013-06-26;11;14;0;1
9;2013-06-14;2013-06-14;11;1;0;1
3;2013-06-17;2013-06-20;11;4;0;1
7;2013-06-22;2013-06-22;11;1;0;1
8;2013-06-27;2013-06-27;11;1;0;1
7;2013-07-04;2013-07-05;11;2;0;1
13;2013-07-04;2013-07-07;11;4;0;1
5;2013-07-08;2013-07-14;11;7;0;1
10;2013-07-17;2013-07-17;11;1;0;1
13;2013-07-24;2013-07-24;11;1;0;1
2;2013-07-26;2013-07-26;11;1;0;1
8;2013-07-27;2013-07-27;11;1;0;1
2;2013-08-03;2013-08-08;11;6;0;1
11;2013-08-06;2013-08-06;11;1;0;1
9;2013-08-07;2013-08-07;11;1;0;1
3;2013-08-12;2013-08-12;11;1;0;1
5;2013-08-24;2013-08-24;11;1;0;1
1;2013-08-31;2013-08-31;11;1;0;1
8;2013-09-06;2013-09-06;11;1;0;1
9;2013-09-06;2013-09-06;11;1;0;1
7;2013-09-07;2013-09-07;11;1;0;1
1;2013-09-18;2013-09-28;11;11;0;1
5;2013-09-20;2013-09-20;11;1;0;1
10;2013-09-21;2013-09-21;11;1;0;1
2;2013-09-23;2013-09-25;11;3;0;1
12;2013-10-01;2013-10-01;11;1;0;1
11;2013-10-19;2013-10-19;11;1;0;1
3;2013-10-28;2013-11-11;11;15;0;1
10;2013-11-09;2013-11-09;11;1;0;1
12;2013-11-11;2013-11-11;11;1;0;1
5;2013-11-16;2013-11-16;11;1;0;1
10;2013-11-18;2013-11-22;11;5;0;1
1;2013-11-26;2013-11-26;11;1;0;1
2;2013-12-16;2013-12-29;11;14;0;1
5;2013-12-30;2014-01-12;11;14;0;1
7;2014-01-13;2014-01-26;11;14;0;1
9;2014-01-28;2014-01-28;11;1;0;1
3;2014-02-01;2014-02-16;11;16;0;1
1;2014-02-10;2014-02-23;11;14;0;1
11;2014-02-14;2014-02-16;11;3;0;1
10;2014-02-24;2014-03-09;11;14;0;1
8;2014-03-10;2014-03-18;11;9;0;1
5;2014-03-28;2014-03-31;11;4;0;1
2;2014-03-29;2014-03-31;11;3;0;1
9;2014-04-19;2014-04-19;11;1;0;1
10;2014-04-26;2014-04-26;11;1;0;1
1;2014-05-06;2014-05-12;11;7;0;1
2;2014-05-17;2014-05-26;11;10;0;1
12;2014-05-23;2014-05-23;11;1;0;1
9;2014-05-30;2014-05-30;11;1;0;1
1;2014-06-05;2014-06-10;11;6;0;1
9;2014-06-09;2014-06-19;11;11;0;1
8;2014-06-16;2014-06-22;11;7;0;1
5;2014-06-21;2014-06-21;11;1;0;1
2;2014-07-05;2014-07-05;11;1;0;1
7;2014-07-12;2014-07-12;11;1;0;1
5;2014-07-14;2014-07-20;11;7;0;1
11;2014-07-19;2014-07-19;11;1;0;1
12;2014-07-21;2014-07-22;11;2;0;1
13;2014-07-21;2014-07-29;11;9;0;1
3;2014-07-24;2014-07-27;11;4;0;1
9;2014-07-25;2014-07-25;11;1;0;1
12;2014-08-01;2014-08-08;11;8;0;1
12;2014-08-15;2014-08-15;11;1;0;1
13;2014-09-01;2014-09-02;11;2;0;1
11;2014-09-01;2014-09-08;11;8;0;1
10;2014-09-09;2014-09-10;11;2;0;1
9;2014-09-19;2014-09-19;11;1;0;1
2;2014-09-22;2014-09-29;11;8;0;1
12;2014-09-29;2014-09-29;11;1;0;1
2;2014-10-06;2014-10-07;11;2;0;1
8;2014-10-09;2014-10-15;11;7;0;1
7;2014-10-14;2014-10-14;11;1;0;1
8;2014-10-24;2014-10-26;11;3;0;1
3;2014-10-25;2014-10-25;11;1;0;1
13;2014-11-10;2014-11-16;11;7;0;1
9;2014-11-14;2014-11-14;11;1;0;1
12;2014-11-17;2014-11-17;11;1;0;1
1;2014-11-22;2014-11-22;11;1;0;1
7;2014-11-27;2014-11-27;11;1;0;1
2;2014-12-05;2014-12-06;11;2;0;1
1;2014-12-06;2014-12-06;11;1;0;1
10;2014-12-15;2014-12-29;11;15;0;1
8;2015-01-05;2015-01-18;11;14;0;1
5;2015-01-10;2015-01-28;11;19;0;1
2;2015-01-17;2015-01-17;11;1;0;1
7;2015-01-30;2015-02-08;11;10;0;1
3;2015-02-02;2015-02-15;11;14;0;1
11;2015-02-02;2015-02-15;11;14;0;1
2;2015-02-23;2015-03-08;11;14;0;1
1;2015-03-09;2015-03-15;11;7;0;1
2;2015-03-09;2015-03-18;11;10;0;1
5;2015-03-17;2015-03-17;11;1;0;1
1;2015-04-13;2015-04-26;11;14;0;1
2;2015-04-24;2015-04-24;11;1;0;1
5;2015-05-02;2015-05-02;11;1;0;1
9;2015-05-11;2015-05-12;11;2;0;1
1;2015-05-19;2015-05-19;11;1;0;1
12;2015-06-01;2015-06-12;11;12;0;1
10;2015-06-06;2015-06-06;11;1;0;1
1;2015-06-13;2015-06-13;11;1;0;1
9;2015-06-15;2015-06-15;11;1;0;1
